SessionID,Category,Grammar_Element,HighLevelObject,FileType,Total_Object_Count,Count_Converted_LOC,Count_Not_Converted_LOC,Count_Conversion_Errors,Count_Parsing_Errors
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Logical Predicates,IS NULL / IS NOT NULL,CREATE / REPLACE VIEW,SQL,1,4,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,"SELECT statement syntax, options, clauses, modifiers",JOIN,CREATE / REPLACE VIEW,SQL,1,0,3,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Manipulation Language Statements,LOCK TABLE,CREATE / REPLACE VIEW,SQL,2,2,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Definition Statements,MERGEBLOCKRATIO,CREATE TABLE,SQL,36,36,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,"SELECT statement syntax, options, clauses, modifiers",NAMED,CREATE TABLE,SQL,1,0,1,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Definition Statements,NO AFTER JOURNAL,CREATE TABLE,SQL,36,36,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Definition Statements,NO BEFORE JOURNAL,CREATE TABLE,SQL,36,36,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Definition Statements,NO FALLBACK,CREATE TABLE,SQL,36,36,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Definition Statements,NOT NULL,CREATE TABLE,SQL,127,127,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Type,NUMBER,CREATE TABLE,SQL,27,27,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Table Statements,PARTITION BY,CREATE TABLE,SQL,3,3,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Type,PERIOD,CREATE TABLE,SQL,4,4,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Type,PERIOD,CREATE / REPLACE VIEW,SQL,2,0,3,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Definition Statements,PRIMARY INDEX,CREATE TABLE,SQL,13,0,13,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Definition Statements,PRIMARY KEY,CREATE TABLE,SQL,23,23,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Function,RANK,CREATE / REPLACE VIEW,SQL,1,1,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Function,RANK,CREATE TABLE,SQL,1,1,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Function,ROUND,CREATE / REPLACE VIEW,SQL,4,4,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,"SELECT statement syntax, options, clauses, modifiers",SELECT,CREATE / REPLACE VIEW,SQL,15,111,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,"SELECT statement syntax, options, clauses, modifiers",SELECT,CREATE TABLE,SQL,2,11,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Type,SMALLINT,CREATE TABLE,SQL,21,21,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Type,TIMESTAMP WITH TIME ZONE,CREATE TABLE,SQL,3,3,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Type,TIMESTAMP WITH TIME ZONE,CREATE / REPLACE VIEW,SQL,3,3,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Definition Statements,TITLE,CREATE TABLE,SQL,7,7,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Type Conversion Functions,TO_DATE,CREATE / REPLACE VIEW,SQL,7,7,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Arithmetic Operators and Functions,TRUNC,CREATE / REPLACE VIEW,SQL,6,6,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Set Operators,UNION,CREATE / REPLACE VIEW,SQL,3,3,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,"SELECT statement syntax, options, clauses, modifiers",WHERE,CREATE / REPLACE VIEW,SQL,6,23,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,"SELECT statement syntax, options, clauses, modifiers",WHERE,CREATE TABLE,SQL,1,1,0,0,0
